Access Control,Alcohol Notalcohol,Area Type1,A Crash,A People,Basetypedesc,Begin Node Dsc,Belted Unbelted,Bikeage,Bikegen,Bikeinjurytype,Bikevehiclenumber,Bike Nonbike,BMP,B Crash,B People,Carspeedlimit,Collision Type,Comm Cargo Body Type Cd,Comm Vehicle Body Type Cd,Cotedrouteid,Coted Mp,Count App,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Crash Year,Curbgutterdesc,C Crash,C People,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,MAINLINE,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Clear,Calculation_9640323132123359,Day Of Week,Deer Nodeer,Direction Of Travel Cd,Distracted Notdistracted,VSP,TOTAL CRASH,Document Nbr,Driverage,Drivergen,Driverinjurytype,Drivervehiclenumber,Driver Action Type Cd,Driver Airbag Deployment,Driver Alcohol Test Type Cd,Driver Condition Type Cd,Driver Distraction Type Cd,Driver Drinking Type Cd,Driver Drug Use Cd,Driver Ejected From Vehicle,Driver Ems Transport Ind,Driver Fled Scene Ind,Driver Safety Equip Used,Driver Vis Obscured Type Cd,Drowsy Notdrowsy,Drug Nodrug,EMP,End Node,End Node Dsc,End Offset,Facility,FAC,First Crash Event Cd,First Harmful Event,Fourth Crash Event Cd,Functionalclass,FUN,Govcondesc,Gr Nogr,Hitrun Not Hitrun,Initial Veh Impact Area Cd,Injury Crashes,Intersection Type,Int Doc,Jurtype,K_CRASH,K People,LAT (copy),LAT,Leftshoulderwidth,Length,Lgtruck Nonlgtruck,Light Condition,Located Unlocated,LON (copy),LON,MAINLINE (group),Mainline Yn,Medianleftshoulderwidth,Medianrightshoulderwidth,Mediantypedesc,Medianwidthmax,Medianwidthmin,Median Type,Most Harmful Crash Event Cd,Motor Nonmotor,Node,Node Info,Node Totaadt2011,Node Totaadt2012,Node Totaadt2013,Node Totaadt2014,Node Totaadt2015,Numberoflane,Number of Records,Offset,Ownership,Passage,Passgen,Passinjurytype,Passvehiclenumber,Pass Airbag Deployment,Pass Ejected From Vehicle,Pass Ems Transport Ind,Pass Safety Equip Used,Pavementconditionvalue,Pavementroughnessvalue,Pavementwidth,Pdo Crash,Total People Killed & Injured,Pedage,Pedestrians Injured,Pedestrians Killed,Pedgen,Pedinjurytype,Pednumber,Ped Action,Ped Al Test,Ped Cond,Ped Drink,Ped Drug,Ped Nonped,Ped Rflct,Persons Injured,Persons Killed,Physical Juris Nm,PJR,VSP_Used,Rd Type,Relation To Roadway,Rightshoulderwidth,RNS_MP (0.25 mi bin),Rns Mp,Roadway Alignment,Roadway Defect,Roadway Description,Roadway Surface Cond,Roadway Surface Type,Route Or Street Nm,Rte Category Cd,Rte Cat,Rte Nm,Ruralurbandesc,School Zone,Second Crash Event Cd,Segtotaadt2011,Segtotaadt2012,Segtotaadt2013,Segtotaadt2014,Segtotaadt2015,Senior Notsenior,Sidewalkdesc,Speed Before,Speed Max Safe,Speed Notspeed,Speed Posted,Start Node,Start Offset,Summons Issued Cd,Surfacedesc,Third Crash Event Cd,Time Slicing,Total Crashes including Property Damage Only,Total Crash,Traffic Control Type,Trfc Ctrl Status Type,Truckcommr,Vehiclenumber,Vehicle Body Type Cd,Vehicle Make Nm,Vehicle Maneuver Type Cd,Vehicle Model Nm,Vehicle Year Nbr,District,District_Used ,Weather Condition,Work Zone Location,Work Zone Related,Work Zone Type,Young Notyoung
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),GREENDELL ROAD(B)/,Not UNBELTED,17,Male,C,2,BIKE,2.51,0,0,,11. Other Animal,"Not Provided,Not Provided","Not Provided,Not Provided",13108529,2.528,3,2/3/2011,2/3/2011,22. Bicycle,1800,C.Non-Visible Injury,2011,Left and Right sides,1,1,Chesapeake,Urban,22. Bicycle,MAIN,3PM TO 6PM,131.Chesapeake,697,Intersection,Reset Filters,VDOT_OTHER,Thursday,DEER,"South,North",,5,1,110910257,,Not Provided,"PDO,C","1,2","24. Fail to Stop at Through Highway - No Sign,1. No Improper Action","Not Provided,Not Provided","Not Applicable,Not Applicable","9. Unknown,1. No Defects","Not Applicable,Not Applicable","6. Unknown,1. Had Not Been Drinking","Not Applicable,Not Applicable","Not Provided,Not Provided","No,NotProvided","Yes,No","Not Provided,Not Provided","1. Not Obscured,1. Not Obscured",,,3,483057,US-00017(B)/TAYLOR RD,0,0,"0.Two-way, non-divided","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,HIT_RUN,"12,12",1,1. Not at Intersection,110910257,C,0,0,36.8616,36.8616,0,0.15,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.405384,-76.405384,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,20",Not MOTORCYCLE,483057,483057.  US00017       US00017      13108529,25408,25364,25134,24576,24539,4,1,0.132,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Chesapeake,131,5,NOT-RD,8. Non-Intersection,0,2.5,2.51,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",TAYLOR RD,URB,UR,R-VA131UR08529SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",13103,12813,12885,13929,14206,Not SENIOR,Left and Right sides,"45,20","45,0",SPEED,"45,0",484539,0,"Not Provided,2. No",0,"0,0",3PM TO 6PM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","CORVETTE,BIKE","1. Going Straight Ahead,1. Going Straight Ahead",BMX,2011,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",25TH ST(R)/,Not UNBELTED,21,Female,B,2,BIKE,0.06,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",12208780,0.114,3,2/4/2011,2/4/2011,20. Motor Vehicle In Transport,110,B.Visiible Injury,2011,Left and Right sides,0,0,Norfolk,Urban,20. Motor Vehicle In Transport,MAIN,0AM TO 3AM,122.Norfolk,602,Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"East,West",,5,1,111180193,31,Female,"PDO,B","1,2","1. No Improper Action,10. Wrong Side Of Road - Not Overtaking","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,0,485945,HALE ST(B)/,0,0,"0.Two-way, non-divided","22,20",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"11,5",1,1. Not at Intersection,111180193,C,0,0,36.869233,36.869233,0,0.07,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.275327,-76.275327,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,20",Not MOTORCYCLE,483545,483545.  SR00247       SR00247      12208780,17675,15917,16064,15481,17542,2,1,0.114,SEC_URBAN,,,,,,,,,0,0,0,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,10. Intersection Related - Within 150 Feet,0,0,0.11,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,1. Concrete,800 Lindenwood Avc,URB,UR,R-VA122UR08780WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",3855,3802,3837,3698,4098,Not SENIOR,Left and Right sides,"5,5","25,25",Not SPEED,"25,25",485944,0,"2. No,2. No",0,"0,0",0AM TO 3AM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","12. Emergency Vehicle (Regardless of Veh Type),9. Bicycle","Ford,GT","1. Going Straight Ahead,15. Other","crown victoria,Bicycle",2008,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",CORPORATION LN(R)/,Not UNBELTED,18,Male,C,1,BIKE,0.46,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408740,0.46,3,2/9/2011,2/9/2011,20. Motor Vehicle In Transport,1656,C.Non-Visible Injury,2011,Left and Right sides,1,1,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,3PM TO 6PM,134.Virginia Beach,634,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"Not Provided,Not Provided",,5,1,111040254,30,Male,"C,PDO","1,2","37. Other,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,NotProvided","No,No","8. No Restraint Used,3. Lap and Shoulder Belt","Not Applicable,Not Applicable",,,1,542271,PAUL JONES LANE(R)/,0,0,"0.Two-way, non-divided","20,22",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,1",1,4. Four Approaches,111040254,C,0,0,36.847387,36.847387,0,0.07,Not LRTRUCK,2. Daylight,LOCATED,-76.131959,-76.131959,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,22",Not MOTORCYCLE,541784,541784. 13408708      13408740      13408740,15559,16051,16199,15611,16179,2,1,0.12,SEC_URBAN,,,,,,,,,0,0,36,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,0,0.25,0.46,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",362 CONTITUTION DRIVE,URB,UR,R-VA134UR08740SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",10291,10070,10163,9794,10238,Not SENIOR,Left and Right sides,"0,5","0,25",Not SPEED,"0,25",542272,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,4. Stop Sign,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,22. Truck - Sport Utility Vehicle (SUV)",RANGE ROVE,"1. Going Straight Ahead,5. Slowing or Stopping","BICYCL,LAND ROVER",2000,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),122-08576(B)/PRINCESS ANNE RD,Not UNBELTED,43,Male,B,2,BIKE,1.08,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",12208575,1.105,4,2/20/2011,2/20/2011,22. Bicycle,2227,B.Visiible Injury,2011,Left and Right sides,0,0,Norfolk,Urban,22. Bicycle,MAIN,9PM TO 12AM,122.Norfolk,132,Intersection,Reset Filters,VDOT_OTHER,Sunday,Not DEER,"North,West",,5,1,111090032,23,Male,"PDO,B","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,1,485318,GOFF STREET(B)/,0,1,"1.Divided, no control of access","22,0",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"3,12",1,4. Four Approaches,111090032,C,0,0,36.85822,36.85822,0,0.09,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.278218,-76.278218,MAINLINE,MAIN,0,0,Curbed Grass,24,16,Divided Roadway,"22,0",Not MOTORCYCLE,485317,485317. 12208575      12208575      12208576      12208576,30226,26765,27012,26032,27016,4,1,0.025,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,9. Within Intersection,0,1,1.11,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",1200 CHURCH ST,URB,UR,R-VA122UR08575NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",19191,17740,17904,17254,19771,Not SENIOR,Left and Right sides,"10,10","25,25",Not SPEED,"25,25",485317,0,"1. Yes,2. No",0,"0,0",9PM TO 12AM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","ACCURA,MONGOSS","2. Making Right Turn,1. Going Straight Ahead","3-5PL,XP500",19992011,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
Partial Access Control,ALCOHOL,Urban,0,0,Bituminous Concrete (Black Base),JB-137/WCL WILLIAMSBURG/,Not UNBELTED,31,Male,K,2,BIKE,7.77,0,0,45,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00199,7.77,4,2/23/2011,2/23/2011,22. Bicycle,2213,K.Fatal Injury,2011,None,0,0,James City,Urban,22. Bicycle,MAIN,9PM TO 12AM,47.James City,"1,162",Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"West,South",,5,1,111050486,29,0,"PDO,K","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,1. Blood","1. No Defects,Not Applicable","Not Applicable,Not Applicable","1. Had Not Been Drinking,2. Drinking - Obviously Drunk","3. Unknown,3. Unknown","1. Not Ejected,1. Not Ejected","No,No","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,8,398816,JB-137/WCL WILLIAMSBURG/,0.21,2,"2.Divided, partial control of access","22,42",1. On Roadway,"0,0",B,B.Urban Freeways and Expressways; Connecting Links of Rural Principle Arterial,State Primary and Interstate,Not GUARDRAIL,Not HIT_RUN,"1,11",0,1. Not at Intersection,111050486,N,1,1,37.25764286,37.25764286,10,0.21,Not LRTRUCK,5. Darkness - Road Not Lighted,LOCATED,-76.73645813,-76.73645813,MAINLINE,MAIN,0,0,Curbed Grass,28,14,Divided Roadway,"22,20",Not MOTORCYCLE,398085,398085.  4700616       SR00005       SR00199       SR00199,43135,42452,43388,42881,43394,4,1,0.22,VDOT_PRI,,,,,,,,,0,70,50,0,1,,0,0,,,,,,,,,Not PED,,0,1,James City,47,5,NOT-RD,8. Non-Intersection,10,7.75,7.77,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",HUMELSINE PKWY E,STPRI,SR,R-VA   SR00199WB,"Urbanized (Population 200,000 and over)",3. No,"0,36",35010,34541,32994,33206,33505,Not SENIOR,None,"45,5","45,0",Not SPEED,"45,45",398816,0,"2. No,2. No",0,"0,20",9PM TO 12AM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","22. Truck - Sport Utility Vehicle (SUV),9. Bicycle","CHEV,OTH","1. Going Straight Ahead,15. Other","TAHOE,OURTAGE",2002,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),HEATHERWOOD DRIVE(L)/,Not UNBELTED,66,Male,C,2,BIKE,1.26,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408638,1.436,4,2/24/2011,2/24/2011,22. Bicycle,745,C.Non-Visible Injury,2011,Left and Right sides,1,1,Virginia Beach,Urban,22. Bicycle,MAIN,6AM TO 9AM,134.Virginia Beach,"2,513",Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"South,East",,5,1,111100104,46,Male,"PDO,C","1,2","1. No Improper Action,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","Not Applicable,Not Applicable","1. Not Ejected,3. Totally Ejected","No,No","No,No","3. Lap and Shoulder Belt,Not Provided","1. Not Obscured,1. Not Obscured",,,1,541366,CYPRESS POINT BLVD(L)/BROADMEADOW BLVD(R)/,0,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,9",1,4. Four Approaches,111100104,C,0,0,36.870169,36.870169,0,0.18,Not LRTRUCK,2. Daylight,LOCATED,-76.163511,-76.163511,MAINLINE,MAIN,0,0,0,0,0,Divided Roadway,"22,20",Not MOTORCYCLE,541365,541365. 13400008      13400008      13408638      13408638,38995,36861,37202,35852,37003,4,1,0.476,SEC_URBAN,,,,,,,,,0,0,54,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,"15. Other Crossing (Crossing for Bikes, School, etc.)",0,1.25,1.44,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",1000 BLOCK CYPRESS POINT BLVD,URB,UR,R-VA134UR08638WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",22985,20026,20211,19477,19433,SENIOR,Left and Right sides,"2,5","25,0",SPEED,"25,0",735027,0,"2. No,2. No",0,"0,0",6AM TO 9AM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",CHEVY,"2. Making Right Turn,15. Other",CAMARO,2010,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,0,0,,,UNBELTED,11,Male,C,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,2/26/2011,2/26/2011,20. Motor Vehicle In Transport,1258,C.Non-Visible Injury,2011,,1,1,Portsmouth,Urban,20. Motor Vehicle In Transport,MAIN,12PM TO 3PM,124.Portsmouth,,Not Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"East,North",DISTRACTED,5,1,120555061,21,Male,"PDO,C","1,2","19. Improper Start From Parked Position,37. Other","2. Not Deployed,2. Not Deployed","4. No Test,4. No Test","1. No Defects,9. Unknown","Not Applicable,11. Other","1. Had Not Been Drinking,Not Applicable","3. Unknown,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","8. No Restraint Used,9. Not Applicable","14. Blind Spot,10. Parked Vehicle(s)",,,,,,,,,"20,20",7. In Parking Lane or Zone,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"8,12",1,1. Not at Intersection,,C,0,0,36.806719,36.806719,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.318811,-76.318811,MAINLINE,,,,,,,,"20,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Portsmouth,124,5,NOT-RD,"13. Driveway, Alley-Access - Related",,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",905 SUBURBAN PKWY,UNKWN,SC,U-VA124SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"2,5","5,0",SPEED,"10,0",,,"Not Provided,Not Provided",,"0,0",12PM TO 3PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,,"1,2","1. Passenger car,9. Bicycle",HOND,"12. Backing,1. Going Straight Ahead",ACCORD,2001,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"Stabilized with Selected Material (Soil,Gravel,Stone,etc.)",FR-00663(B)/,Not UNBELTED,22,Male,B,1,BIKE,0,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",4701425,0,2,3/1/2011,3/1/2011,20. Motor Vehicle In Transport,821,B.Visiible Injury,2011,None,0,1,James City,Urban,20. Motor Vehicle In Transport,MAIN,6AM TO 9AM,47.James City,0,Intersection,Reset Filters,VDOT_OTHER,Tuesday,Not DEER,"South,East",,5,1,111120074,46,Female,"B,C","1,2","24. Fail to Stop at Through Highway - No Sign,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","No,No","No,No","5. Helmet,3. Lap and Shoulder Belt","1. Not Obscured,Not Applicable",,,0,398438,47-01426(R)/,0,0,"0.Two-way, non-divided","20,22",1. On Roadway,"0,0",J,J.Urban Local,State Secondary,Not GUARDRAIL,Not HIT_RUN,"3,12",1,3. Three Approaches,111120074,N,0,0,37.234612,37.234612,8,0.07,Not LRTRUCK,2. Daylight,LOCATED,-76.773706,-76.773706,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,22",Not MOTORCYCLE,398436,398436.  4701425       FR00663,345,345,363,363,363,2,1,0,VDOT_SEC,,,,,,,,,0,0,0,0,2,,0,0,,,,,,,,,Not PED,,2,0,James City,47,5,NOT-RD,10. Intersection Related - Within 150 Feet,8,0,0,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",LONDON COMPANY WAY,SEC,SC,R-VA047SC01425SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",639,639,669,669,669,Not SENIOR,None,"25,10","45,25",Not SPEED,"45,25",398436,0,"1. Yes,2. No",Paved (unofficial definition),"0,0",6AM TO 9AM,1,1,6. Traffic Lanes Marked,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car",SATU,"15. Other,1. Going Straight Ahead",,1997,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),134-08661(B)/CENTERVILLE TNPK,Not UNBELTED,45,Female,C,2,BIKE,8.32,0,0,,1. Rear End,"Not Provided,Not Provided","Not Provided,Not Provided",SR00190,8.405,4,3/2/2011,3/2/2011,22. Bicycle,1940,C.Non-Visible Injury,2011,Left and Right sides,1,1,Virginia Beach,Urban,22. Bicycle,MAIN,6PM TO 9PM,134.Virginia Beach,449,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"South,South",,5,1,111100542,59,Female,"PDO,C","1,2","1. No Improper Action,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,Not Provided","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,9,541169,134-08822(B)/BEAUFAIN BLVD,0,1,"1.Divided, no control of access","22,27",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,0",1,1. Not at Intersection,111100542,C,0,0,36.78142,36.78142,0,0.41,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.191101,-76.191101,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"22,27",Not MOTORCYCLE,541168,541168.  SR00190       SR00190      13408661      13408661,52357,50128,50590,48754,47427,4,1,0.085,PRI_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,8. Non-Intersection,0,8.25,8.41,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",1900 KEMPSVILLE RD,STPRI,SR,R-VA   SR00190WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",35937,33954,34267,33024,32628,Not SENIOR,Left and Right sides,"25,0","45,0",Not SPEED,"45,0",541168,0,"2. No,2. No",0,"0,0",6PM TO 9PM,1,1,6. Traffic Lanes Marked,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",VOLKS,"1. Going Straight Ahead,Not Applicable","BEETLE,BICYCLE",2005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",ENT TO SHOPING CENT(B)/,Not UNBELTED,53,Female,B,2,BIKE,27.97,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00168,27.977,3,3/2/2011,3/2/2011,20. Motor Vehicle In Transport,1745,B.Visiible Injury,2011,Left and Right sides,0,0,Norfolk,Urban,20. Motor Vehicle In Transport,MAIN,3PM TO 6PM,122.Norfolk,"1,885",Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"South,West",,5,1,111100547,76,Female,"PDO,B","1,2","1. No Improper Action,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,28,730708,RAMP FR RT 165(L)/RAMP TO RT 165(R)/,0,0,"0.Two-way, non-divided","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,11",1,4. Four Approaches,111100547,C,0,0,36.913259,36.913259,0,0.04,Not LRTRUCK,2. Daylight,LOCATED,-76.25502,-76.25502,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,20",Not MOTORCYCLE,483432,483432.  SR00168       SR00168       SR00168S026B,27542,31553,31830,30732,29068,4,1,0.357,PRI_URBAN,,,,,,,,,0,241,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,9. Within Intersection,0,27.75,27.98,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",7500 TIDEWATER DR,STPRI,SR,R-VA   SR00168SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",27542,29979,30256,29158,27494,SENIOR,None,"5,5","35,35",Not SPEED,"35,35",730709,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","CHEV,MONGOOSE","3. Making Left Turn,1. Going Straight Ahead","MALIBU,21 SPEED",2003,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
